Tweet,Publication Date
"Gulafrooz is the #firstwoman police officer in Afghanistan to hold a master’s degree in Military Science. She works for ☮️ #HumanRights to #EndViolenceAgainstWomen in Afghanistan. More on @undpaf's support to #ruleoflaw:
https://t.co/KcLcnRBD8c
#BuildPeace #Youth2030 https://t.co/qo0b84qvfz",Fri Apr 05 05:31:00 +0000 2019
Why is a #LandmineFree world important for peace &amp; the #SDGs? @ASteiner explains our work in mine action to #LeaveNooneBehind. See more in this report! https://t.co/H7YYBifpW6 #IMAD2019 https://t.co/5tnBDLiY8M,Fri Apr 05 00:57:22 +0000 2019
"RT @UNDPEurasia: People of Tajikistan, eastern Ukraine, and Bosnia and Herzegovina whose lives are affected by landmines also suffer from h…",Thu Apr 04 23:45:14 +0000 2019
RT @undpiniraq: Clearing explosive hazards is an essential first step in our efforts to restore basic services and infrastructure in Iraq.…,Thu Apr 04 23:45:04 +0000 2019
"Green &amp; smart city planning are critical for the #CitiesoftheFuture. Facing water shortages, here's how @UNDP_Pakistan is connecting cities like Lahore in Pakistan to innovative #SDGs solutions for urban sustainability &amp; peace.
https://t.co/nIsoraPpyf",Thu Apr 04 20:17:29 +0000 2019
"In 2019, investments from 135 #impactbonds led to jobs, better health, education, social welfare &amp; justice in 28 countries. Here's our take on #SocialimpactBonds as a matchpoint for #SDGs:
https://t.co/iREe8HjNkR v @apoliticalco #FFDForum #Fin4Dev https://t.co/oKQKlcKLg7",Thu Apr 04 18:25:09 +0000 2019
"#FinTech, #BlendedFinance, carbon financing, public debt as a % of GDP, to data to close the global gender gap for banking &amp; financial services, see the latest data in the new @UN #Fin4Dev report 👉 https://t.co/N9sW55YNB2 
#GlobalGoals #FFDForum https://t.co/FS9m5Ho3V2",Thu Apr 04 16:40:05 +0000 2019
One out of every nine person on Earth is malnourished. A #LandmineFree world unlocks the 🔑 to a #ZeroHunger world. #IMAD2019 https://t.co/8My2C4PoIl,Thu Apr 04 13:12:29 +0000 2019
"Over 950 governments, multilateral institutions, &amp; civil society organizations publish #opendata on +1 million development &amp; humanitarian projects. @ASteiner reflects on 10 yrs of @IATI_aid. #OpenAid 
https://t.co/DXe4zFDbj7",Thu Apr 04 08:00:20 +0000 2019
"Enter by 8 April to win the assignment of a lifetime.  Eight winning journalists will travel to the 🇵🇪 #AmazonRainforest to interview the 🍫☕ farmers &amp; producers tackling deforestation from our Green Commodities Programme 👉 ⁣https://t.co/AokpV5BW3F 
#GoodGrowth https://t.co/VLVfifAzJi",Thu Apr 04 06:00:19 +0000 2019
"Landmines cost between $3 and $30, but it costs $300 to $1,000 to neutralize them. +40% of #landmine victims are children. See why a #LandmineFree world matters for the #SDGs: https://t.co/76lCjmYYja #IMAD2019 https://t.co/Ns5eIt4D4l",Thu Apr 04 04:00:21 +0000 2019
"To protect lives affected by #YemenCrisis, @UNDPYemen supports partners who have cleared:
👉 ~6.4 million m2 of land are #landminefree 💥
👉 Removed 120,000 explosive remnants of war
👉 Destroyed 13,230 explosive remnants of war
More: https://t.co/HZzmHeOIDK 
#IMAD2019 https://t.co/1G5VLDLHyd",Thu Apr 04 02:00:00 +0000 2019
Lack of 💧 was the #1 reason girls dropped out of school &amp; farmers struggled to feed their families in this 🏔️ village in Pakistan. @UNDP_Pakistan &amp; @CocaColaCo teamed up &amp; helped to unlock 🚰  women's &amp; girls' biggest barriers to #equality: https://t.co/T7sfG6V1mU #WaterisLife https://t.co/pQQIYcPHld,Wed Apr 03 22:00:17 +0000 2019
"RT @UN_Women: How can we increase and strengthen women’s participation in public administration and decision-making? We need your input!

J…",Wed Apr 03 20:37:29 +0000 2019
"When 40% of your community is in poverty, every harvest counts. These Peruvian farmers are restoring stone terraces which use less💧, protect 🌱from frost &amp; reduce erosion. W/ help from @PNUDperu &amp; @theGEF, they've restored +10,000m2 so far. #Climate4All https://t.co/D2Vp2QK35a https://t.co/WNRdBCkWJC",Wed Apr 03 20:08:34 +0000 2019
"RT @ASteiner: We’re powering up @UNDP’s already strong commitment to #innovation, using the best #digitaltech in the smartest ways; buildin…",Wed Apr 03 19:58:09 +0000 2019
"RT @HDRUNDP: Calling all students, data users, #datascientists &amp; #datavisualization developers to join the @HDRUNDP challenge to visualize…",Wed Apr 03 15:29:58 +0000 2019
